Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,fdr,-log10_pval,fdr_scaled,sensitive,Response_Label,Pathway_Score,Drug name_Enc,Drug target_Enc,Target Pathway_Enc,Feature Name_Enc
Foretinib,2040,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,TP53_mut,24,5,0.4102828163507739,0.44367547656777523,0.3274243919181042,0.08709377422811948,0.6715546303207468,0.2769202560694944,0.23567443915710184,0.05429504620526258,0.49035898883045786,0.3416740381633258,0.49035898883045786,0.0,1,0.294422592860817,79,0.5872093023255814,0.9090909090909092,5
Foretinib,2040,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,cnaPAAD2,10,19,0.06428860443314498,0.4269678870405449,0.3845025678457016,0.6513452075226119,0.4735692186506062,0.20539861610919338,0.2993595469046187,0.6947426072119728,0.9339629752227964,0.0427557118851208,0.9339629752227964,1.0,0,0.294422592860817,79,0.5872093023255814,0.9090909090909092,6
Foretinib,2040,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,cnaPAAD3,3,26,0.2696987857344438,0.3968329629481855,0.38537868879044923,0.5283850444300966,0.38493089622777177,0.4291715767183599,0.24234962544481503,0.29599487737750374,0.7945944174846744,0.14289292340745666,0.7945944174846745,0.0,1,0.294422592860817,79,0.5872093023255814,0.9090909090909092,7
Foretinib,2040,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,cnaPAAD4,17,12,0.11284793020757693,0.4406302955118477,0.3697273884831006,0.4654472928127093,0.5515706318989048,0.3101615906579064,0.23260452041758356,0.4768955596324123,0.8586004692683643,0.08691887060373449,0.8586004692683643,1.0,0,0.294422592860817,79,0.5872093023255814,0.9090909090909092,8
BIBR-1532,2043,TERT,Genome integrity,ARID1A_mut,3,26,0.009280231715724379,0.6751966056953003,0.6429110516189633,0.9665372552102652,0.5050917716909135,0.16877818642081718,0.18721844266521953,0.9710892567708383,0.9710950441384926,0.0034440420328663984,0.9710950441384926,1.0,0,0.5050661462720789,36,0.872093023255814,0.4545454545454546,0
BIBR-1532,2043,TERT,Genome integrity,CDKN2A_mut,4,25,0.16068994066362685,0.6899677566441549,0.6402897758030694,0.47129478012827203,0.5543040333120143,0.19350007245160553,0.1842519802840643,0.47834179476332284,0.6978786086388115,0.08656346972424728,0.6978786086388115,0.0,1,0.5050661462720789,36,0.872093023255814,0.4545454545454546,1
BIBR-1532,2043,TERT,Genome integrity,EP300_mut,3,26,0.15441665757546022,0.6900001988834712,0.6410504218586334,0.6551728400323659,0.5523964260743852,0.2655251941143221,0.17756831238936027,0.5468827762200801,0.6978786086388115,0.07084602025898785,0.6978786086388115,1.0,0,0.5050661462720789,36,0.872093023255814,0.4545454545454546,2
BIBR-1532,2043,TERT,Genome integrity,RNF43_mut,4,25,0.6424912631585493,0.7297857989234079,0.6333500102458713,0.004765657561479044,0.6866314927256645,0.11391746671040705,0.16293031280650513,0.0076144459850736364,0.035158838250412064,0.5697173803174985,0.035158838250412064,0.0,1,0.5050661462720789,36,0.872093023255814,0.4545454545454546,3
BIBR-1532,2043,TERT,Genome integrity,SMAD4_mut,8,21,0.12253848062711321,0.6843161116630011,0.6388478302520224,0.4861247677291748,0.5419049546623409,0.21355247131168495,0.18260589997816276,0.48332345454656783,0.6978786086388115,0.08534743550394441,0.6978786086388115,1.0,0,0.5050661462720789,36,0.872093023255814,0.4545454545454546,4
BIBR-1532,2043,TERT,Genome integrity,TP53_mut,24,5,0.10226135919663835,0.6722192242663092,0.6535586503710556,0.5823949333683325,0.4685578990017039,0.22349641826315159,0.14436738844243233,0.6202605343910081,0.6978786086388115,0.05606730671825935,0.6978786086388115,1.0,0,0.5050661462720789,36,0.872093023255814,0.4545454545454546,5
BIBR-1532,2043,TERT,Genome integrity,cnaPAAD2,10,19,0.090176907922835,0.667492498864967,0.6468963355299522,0.6186842474457442,0.47253857068803445,0.25825180146461263,0.1579906804850202,0.5825767088815462,0.6978786086388115,0.06342460198744072,0.6978786086388115,1.0,0,0.5050661462720789,36,0.872093023255814,0.4545454545454546,6
BIBR-1532,2043,TERT,Genome integrity,cnaPAAD3,3,26,0.2388110520573334,0.6500803215547762,0.6460678598441143,0.13338879175765816,0.42483307197078324,0.09292664053894238,0.18706800009573057,0.3537263827607103,0.6978786086388115,0.12198377764959724,0.6978786086388115,0.0,1,0.5050661462720789,36,0.872093023255814,0.4545454545454546,7
BIBR-1532,2043,TERT,Genome integrity,cnaPAAD4,17,12,0.45537512729040186,0.6553864989323185,0.6721146741303925,0.007166757173383664,0.3715299080460406,0.19410686685778708,0.14905031559027226,0.006969770560285681,0.035158838250412064,0.5798270411941752,0.035158838250412064,0.0,1,0.5050661462720789,36,0.872093023255814,0.4545454545454546,8
Pyridostatin,2044,G-quadruplex stabiliser,DNA replication,ARID1A_mut,3,26,0.016457916610190346,0.5901750814425478,0.548355817296941,0.9679803410479806,0.5101989460647636,0.49325363891450924,0.2817816716171206,0.9486953949332346,0.9573140585012101,0.006182954522412369,0.9573140585012101,1.0,0,0.2823595045939941,172,0.3953488372093023,0.3181818181818182,0
Pyridostatin,2044,G-quadruplex stabiliser,DNA replication,CDKN2A_mut,4,25,0.17385703064863464,0.6132089014213965,0.5442167924089534,0.5968395746913651,0.5870748558833566,0.4554008687679952,0.2747393813929256,0.44340518722471983,0.9573140585012101,0.09546492208021069,0.9573140585012101,0.0,1,0.2823595045939941,172,0.3953488372093023,0.3181818181818182,1
Pyridostatin,2044,G-quadruplex stabiliser,DNA replication,EP300_mut,3,26,0.09919518816137404,0.6029335479845436,0.5467522348587058,0.6937164770522615,0.5509684297790152,0.2888887273552888,0.30112287490064454,0.6982036371559889,0.9573140585012101,0.042172374741343874,0.9573140585012101,1.0,0,0.2823595045939941,172,0.3953488372093023,0.3181818181818182,2
Pyridostatin,2044,G-quadruplex stabiliser,DNA replication,RNF43_mut,4,25,0.46653756894027265,0.6520367642644218,0.5374496022709663,0.02832641411631253,0.7161116480301458,0.19944815585038592,0.28544062512627266,0.046295210616067055,0.2976902538695694,0.36031564416869916,0.2976902538695694,0.0,1,0.2823595045939941,172,0.3953488372093023,0.3181818181818182,3
Pyridostatin,2044,G-quadruplex stabiliser,DNA replication,SMAD4_mut,8,21,0.023943523229297766,0.5906168976986765,0.5474312248375997,0.8907399120499799,0.5138964555204241,0.3261415664326144,0.3003561711591335,0.8905078454853308,0.9573140585012101,0.01361354387943216,0.9573140585012101,1.0,0,0.2823595045939941,172,0.3953488372093023,0.3181818181818182,4
Pyridostatin,2044,G-quadruplex stabiliser,DNA replication,TP53_mut,24,5,0.011022648300202857,0.5879437470441004,0.5469468982781869,0.9682127784559479,0.5075119122915492,0.30595881628207,0.41834692301770793,0.9573055122779641,0.9573140585012101,0.005122309026655034,0.9573140585012101,1.0,0,0.2823595045939941,172,0.3953488372093023,0.3181818181818182,5
Pyridostatin,2044,G-quadruplex stabiliser,DNA replication,cnaPAAD2,10,19,0.023910511996800204,0.5903269264461102,0.5471217720559935,0.8712796609227681,0.5138795939309707,0.25818003707466036,0.33055585397251075,0.8837441117451386,0.9573140585012101,0.014508595063702428,0.9573140585012101,1.0,0,0.2823595045939941,172,0.3953488372093023,0.3181818181818182,6
Pyridostatin,2044,G-quadruplex stabiliser,DNA replication,cnaPAAD3,3,26,0.48476571647441696,0.5172183262205676,0.5575255849492693,0.06039505064347207,0.2770667570150046,0.1964005183441595,0.2853543707761191,0.06596644025790385,0.2976902538695694,0.31888713995814005,0.2976902538695694,0.0,1,0.2823595045939941,172,0.3953488372093023,0.3181818181818182,7
Pyridostatin,2044,G-quadruplex stabiliser,DNA replication,cnaPAAD4,17,12,0.10533743032141424,0.5801452375638766,0.5602013921985399,0.5258322643891034,0.45030959227836215,0.2930964144608169,0.3422570377809151,0.5064474531679033,0.9573140585012101,0.0798620882331867,0.9573140585012101,1.0,0,0.2823595045939941,172,0.3953488372093023,0.3181818181818182,8
AMG-319,2045,PI3K (beta sparing),PI3K/MTOR signaling,ARID1A_mut,3,26,0.020881758508251337,0.6719850898692106,0.6371588321201759,0.858475574297285,0.5110197795624073,0.09023321984958033,0.2642357192023208,0.9349135695936968,0.9571472593333585,0.007900878681377718,0.9571472593333585,1.0,0,0.24407116799677114,7,0.7093023255813954,0.8181818181818182,0
AMG-319,2045,PI3K (beta sparing),PI3K/MTOR signaling,CDKN2A_mut,4,25,0.012131859843201656,0.6675851470855318,0.6377886705110433,0.9107003156521807,0.49675778907081447,0.08360411100096138,0.27027001928369,0.9571386800182826,0.9571472593333585,0.005142769659225838,0.9571472593333585,1.0,0,0.24407116799677114,7,0.7093023255813954,0.8181818181818182,1
